Day,File,Pair,Spearman_r,Spearman_p,Spearman_CI_low,Spearman_CI_high,Kendall_tau,Kendall_p,Kendall_CI_low,Kendall_CI_high
Thor_171027,rankSim_All.mat,R1-R2,0.0492311254767985,0.0222,-0.0316915844388399,0.157370695563865,0.0332254395940863,0.021,-0.0211867978119587,0.106256060113368
Thor_171027,rankSim_All.mat,R1-R3,0.0503162604631363,0.0145,-0.0246760333443985,0.150816350079722,0.033923918618274,0.0142,-0.016278322641853,0.101478118464574
Thor_171027,rankSim_All.mat,R2-R3,0.011130579823856,0.7299,-0.0581040781248575,0.109017170221917,0.00678615598106971,0.7518,-0.0403878703588356,0.072259217709104
Thor_171027,rankSim_M1.mat,R1-R2,0.00481770641181474,0.897,-0.105726991086092,0.164662144084848,0.00297272061977944,0.9044,-0.070912987050068,0.106933298326854
Thor_171027,rankSim_M1.mat,R1-R3,0.131577794950593,0.003,-0.0360569704259944,0.322064041606266,0.0894491129785247,0.0029,-0.0246390884255084,0.221721002700076
Thor_171027,rankSim_M1.mat,R2-R3,0.00107118531654749,0.981,-0.101138396028388,0.141828174712298,0.000126176596764832,0.9966,-0.0710782143474117,0.0964548324483708
Thor_171027,rankSim_M3.mat,R1-R2,-0.0574002574002574,0.7568,-0.617341186000941,0.467775467775468,-0.053968253968254,0.6764,-0.469120209059233,0.33220910623946
Thor_171027,rankSim_M3.mat,R1-R3,0.162676962676963,0.3908,-0.302100147413685,0.636174636174636,0.0984126984126984,0.4578,-0.254637436762226,0.508021390374332
Thor_171027,rankSim_M3.mat,R2-R3,-0.0167310167310167,0.9334,-0.631710304010396,0.340624175386142,0.00317460317460317,0.9904,-0.485994397759104,0.242001927246447
Thor_171027,rankSim_PMv.mat,R1-R2,-0.00658732392478523,0.9328,-0.292026629145559,0.301086839917397,-0.00309597523219814,0.9542,-0.199965584748353,0.212338120943424
Thor_171027,rankSim_PMv.mat,R1-R3,0.00927117258386609,0.916,-0.240301184186919,0.293954499171682,0.00619195046439629,0.9199,-0.164875999323444,0.203832616993871
Thor_171027,rankSim_PMv.mat,R2-R3,-0.0206029780333186,0.7756,-0.277475126615185,0.246400847759104,-0.00791193670450636,0.8759,-0.196873983475752,0.176261261965455
Thor_171027,rankSim_S1.mat,R1-R2,0.0116883116883117,0.9732,-0.180456026058632,1,0.0380952380952381,0.8662,-0.118279569892473,1
Thor_171027,rankSim_S1.mat,R1-R3,-0.138961038961039,0.6622,-0.235718975705844,1,-0.0857142857142857,0.6998,-0.228426395939086,1
Thor_171027,rankSim_S1.mat,R2-R3,0.583116883116883,0.0604,0.189757058437295,1,0.438095238095238,0.0505,0.106598984771574,1
Thor_171128,rankSim_All.mat,R1-R2,0.082595734139936,0.0024,-0.0154505240846756,0.200584076074654,0.0549797982743482,0.0023,-0.0106011945535873,0.134837887383991
Thor_171128,rankSim_All.mat,R1-R3,0.106914162500547,0.0008,-0.00188625883657575,0.245527360278396,0.0719161992891325,0.0008,-0.00184220107955781,0.16648703359169
Thor_171128,rankSim_All.mat,R2-R3,0.163601464911286,0,0.0438622986598382,0.303029527435001,0.110916707977333,0,0.0296713129021615,0.207689707772488
Thor_171128,rankSim_M1.mat,R1-R2,0.161784982474638,0.027,-0.0434901554261338,0.392106467416589,0.107121571489388,0.0281,-0.0309420385779542,0.266994337855575
Thor_171128,rankSim_M1.mat,R1-R3,0.0446564791392378,0.6554,-0.0938103446166466,0.264135590180473,0.0304932189989661,0.6495,-0.0665582922311873,0.177745855915169
Thor_171128,rankSim_M1.mat,R2-R3,0.153757608930023,0.0754,-0.0486678696570751,0.351893973918805,0.101526485434531,0.0793,-0.0314383745186826,0.234340206232766
Thor_171128,rankSim_M3.mat,R1-R2,-0.0737778097775218,0.326,-0.297711459767579,0.204139613800954,-0.0487788097695218,0.3331,-0.206726082718284,0.138994693030681
Thor_171128,rankSim_M3.mat,R1-R3,-0.0360669114647083,0.6309,-0.301704344774587,0.292686751963939,-0.0297901616787066,0.5548,-0.224809000561569,0.202365261621543
Thor_171128,rankSim_M3.mat,R2-R3,0.161684306525548,0.035,-0.0980752764308055,0.418093773814734,0.108634330925353,0.0349,-0.0712334000649814,0.29832343067912
Thor_171128,rankSim_PMv.mat,R1-R2,-0.00374248393116318,0.9707,-0.329327623671839,0.343866722162485,-0.00695970695970696,0.9171,-0.237756192977447,0.240048070789308
Thor_171128,rankSim_PMv.mat,R1-R3,0.00986937590711176,0.9259,-0.333040598275118,0.33748779761446,0.0021978021978022,0.9777,-0.241462797252791,0.232333929232209
Thor_171128,rankSim_PMv.mat,R2-R3,-0.0611341488699979,0.5377,-0.349765048190367,0.301958429843323,-0.0340659340659341,0.6104,-0.237851899283462,0.230828368249087
Thor_171128,rankSim_S1.mat,R1-R2,0.152709359605911,0.4165,-0.514656144306652,0.916384975878071,0.116402116402116,0.3865,-0.390890269151139,0.795986622073579
Thor_171128,rankSim_S1.mat,R1-R3,0.38752052545156,0.0528,-0.368250447476346,0.899280575539568,0.275132275132275,0.0515,-0.281159420289855,0.760524499654934
Thor_171128,rankSim_S1.mat,R2-R3,0.636015325670498,0.0117,-0.14888129523299,0.96281880364464,0.481481481481481,0.0085,-0.161904761904762,0.895652173913044
